Название,"Цена, ₽","Вес, г",Рейтинг,Кол-во отзывов,Ссылка,"Цена за 100 г, ₽"
"Мороженое ""Молочный шоколад"" без лактозы",148.0,70.0,4.9,1610.0,https://vkusvill.ru/goods/morozhenoe-molochnyy-shokolad-bez-laktozy-74559.html,211.43
"Эскимо пломбир с манго ""Вкусвилл"" в шоколаде",162.0,80.0,4.8,1414.0,https://vkusvill.ru/goods/eskimo-plombir-s-mango-vkusvill-v-shokolade-107110.html,202.5
"Десерт взбитый замороженный ""Матча-латте"" на кокосовом",154.0,75.0,4.6,2010.0,https://vkusvill.ru/goods/desert-vzbityy-zamorozhennyy-matcha-latte-na-kokosovom-107685.html,205.33
"Мороженое ""Малиновый чизкейк""",790.0,310.0,4.8,912.0,https://vkusvill.ru/goods/morozhenoe-malinovyy-chizkeyk-109728.html,254.84
Пломбир шоколадный,410.0,400.0,4.9,1571.0,https://vkusvill.ru/goods/plombir-shokoladnyy-108826.html,102.5
"Мороженое ""Шоколадный Нью-Йорк""",790.0,310.0,4.7,815.0,https://vkusvill.ru/goods/morozhenoe-shokoladnyy-nyu-york-109729.html,254.84
"Мороженое ""Молочный шоколад""",888.0,700.0,4.9,1031.0,https://vkusvill.ru/goods/morozhenoe-molochnyy-shokolad-21074.html,126.86
"Мороженое молочное протеиновое ""Ванильное""",115.0,75.0,4.9,931.0,https://vkusvill.ru/goods/morozhenoe-molochnoe-proteinovoe-vanilnoe-106547.html,153.33
"Мороженое молочное ""Манго-мята""",153.0,75.0,4.8,2190.0,https://vkusvill.ru/goods/morozhenoe-molochnoe-mango-myata-88664.html,204.0
Мороженое с сыром Горгонзола,457.0,250.0,4.9,1302.0,https://vkusvill.ru/goods/morozhenoe-s-syrom-gorgonzola-90033.html,182.8
Мороженое пломбир с фейхоа,138.0,75.0,4.7,530.0,https://vkusvill.ru/goods/morozhenoe-plombir-s-feykhoa-107684.html,184.0
"Мороженое сливочное ""Дубайский шоколад"", 80&nbsp;г",297.0,80.0,4.6,1447.0,https://vkusvill.ru/goods/morozhenoe-slivochnoe-dubayskiy-shokolad-80-g-116613.html,371.25
"Мороженое сливочное ""Пралине"", 330г",482.0,330.0,4.9,3202.0,https://vkusvill.ru/goods/morozhenoe-slivochnoe-praline-330g-103292.html,146.06
"Пломбир ванильный ""Игрушка""",110.0,65.0,4.9,7509.0,https://vkusvill.ru/goods/plombir-vanilnyy-igrushka-52805.html,169.23
"Мороженое пломбир ""Кукис"" с голубой спирулиной",134.0,75.0,4.9,911.0,https://vkusvill.ru/goods/morozhenoe-plombir-kukis-s-goluboy-spirulinoy-106469.html,178.67
"Мороженое ""Протеиновое"" с фруктозой, соленой карамелью",158.0,75.0,4.9,1366.0,https://vkusvill.ru/goods/morozhenoe-proteinovoe-s-fruktozoy-solenoy-karamelyu-106933.html,210.67
Сорбет из клюквы и брусники,120.0,100.0,5.0,1178.0,https://vkusvill.ru/goods/sorbet-iz-klyukvy-i-brusniki-101239.html,120.0
"Мороженое ""Клубника со сливками"", 330&nbsp;г",413.0,330.0,4.7,3262.0,https://vkusvill.ru/goods/morozhenoe-klubnika-so-slivkami-330-g-99300.html,125.15
"Мороженое сливочное ""Имбирное печенье"", 75&nbsp;г",135.0,75.0,4.8,2368.0,https://vkusvill.ru/goods/morozhenoe-slivochnoe-imbirnoe-pechene-75-g-106689.html,180.0
"Сорбет ""Черная и красная смородина""",122.0,75.0,4.9,1081.0,https://vkusvill.ru/goods/sorbet-chernaya-i-krasnaya-smorodina-90768.html,162.67
Пломбир шоколадный в ваф.рожке,137.0,100.0,4.9,2155.0,https://vkusvill.ru/goods/plombir-shokoladnyy-v-vaf-rozhke-64579.html,137.0
"Сорбет ""Малиновый"" без доб.сахара",162.0,80.0,4.9,1186.0,https://vkusvill.ru/goods/sorbet-malinovyy-bez-dob-sakhara-101649.html,202.5
"Пломбир ""Морковный торт""",149.0,75.0,4.6,1710.0,https://vkusvill.ru/goods/plombir-morkovnyy-tort-109393.html,198.67
"Мороженое сливочное ""Джелато базилик-вишня""",150.0,80.0,4.7,2131.0,https://vkusvill.ru/goods/morozhenoe-slivochnoe-dzhelato-bazilik-vishnya-109391.html,187.5
"Мороженое пломбир в рис. тесте ""Моти"": ""Черника""",160.0,40.0,4.8,2245.0,https://vkusvill.ru/goods/morozhenoe-plombir-v-ris-teste-moti-chernika-110216.html,400.0
"Мороженое ""Бельгийский шоколад""",160.0,80.0,4.9,1254.0,https://vkusvill.ru/goods/morozhenoe-belgiyskiy-shokolad-76171.html,200.0
"Мороженое ""Лимонное"" без доб. сахара",147.0,80.0,4.8,857.0,https://vkusvill.ru/goods/morozhenoe-limonnoe-bez-dob-sakhara-101097.html,183.75
"Мороженое ""Молочный Улун"" с миндалем",144.0,75.0,4.8,431.0,https://vkusvill.ru/goods/morozhenoe-molochnyy-ulun-s-mindalem-107315.html,192.0
"Мороженое ""Кофейное"" без доб. сахара",153.0,80.0,4.9,1220.0,https://vkusvill.ru/goods/morozhenoe-kofeynoe-bez-dob-sakhara-101101.html,191.25
"Сорбет ""Черная смородина и мята""",162.0,80.0,5.0,454.0,https://vkusvill.ru/goods/sorbet-chernaya-smorodina-i-myata-91577.html,202.5
"Мороженое сливочное ""Лимонное""",150.0,80.0,4.8,663.0,https://vkusvill.ru/goods/morozhenoe-slivochnoe-limonnoe-88968.html,187.5
"Пломбир ""Брикет шоколадный""",107.0,80.0,4.9,7008.0,https://vkusvill.ru/goods/plombir-briket-shokoladnyy-76530.html,133.75
Пломбир крем-брюле,212.0,230.0,4.9,10097.0,https://vkusvill.ru/goods/plombir-krem-bryule-101815.html,92.17
"Пломбир ""Апельсин с корицей"" в ваф. рожке в мол. шоколаде",89.0,70.0,4.8,5377.0,https://vkusvill.ru/goods/plombir-apelsin-s-koritsey-v-vaf-rozhke-v-mol-shokolade-111464.html,127.14
Пломбир с ванилью,212.0,230.0,4.9,13301.0,https://vkusvill.ru/goods/plombir-s-vanilyu-101816.html,92.17
"Мороженое сливочное ""Джелато банан-шоколад""",129.0,85.0,5.0,1918.0,https://vkusvill.ru/goods/morozhenoe-slivochnoe-dzhelato-banan-shokolad-73580.html,151.76
Мороженое крем-брюле со сгущ. молоком и грецкими орехами,498.0,400.0,4.8,1452.0,https://vkusvill.ru/goods/morozhenoe-krem-bryule-so-sgushch-molokom-i-gretskimi-orekhami-61191.html,124.5
