,Название,"Цена, ₽","Вес, г",Рейтинг,Кол-во отзывов,Ссылка,"Цена за 100 г, ₽",Необычный вкус,ПП,Вафельный стаканчик,Рожок,Сорбет/лёд,Эскимо,Пломбир,Большая порция,Стаканчик (не вафельный),Топ-ниши,score,Премия по цене,Относит. популярность,Главная ниша,Вторая ниша
60,"Мороженое йогуртное с пробиотиками ""Черная смородина""",136.0,75.0,5.0,2763.0,https://vkusvill.ru/goods/morozhenoe-yogurtnoe-s-probiotikami-chernaya-smorodina-104639.html,181.33,False,False,False,False,False,False,False,False,True,['Стаканчик (не вафельный)'],1.0164514397623943,0.9963186813186814,1.0202071473929066,Стаканчик (не вафельный),
61,"Эскимо пломбир с манго ""Вкусвилл"" в шоколаде",162.0,80.0,4.8,1414.0,https://vkusvill.ru/goods/eskimo-plombir-s-mango-vkusvill-v-shokolade-107110.html,202.5,False,False,False,False,False,True,True,False,False,"['Эскимо', 'Пломбир']",1.0120802035674008,1.13858467486182,0.8902073431017454,Эскимо,Пломбир
62,Эскимо Пломбир черничный в белом шоколаде,157.0,80.0,4.8,1753.0,https://vkusvill.ru/goods/eskimo-plombir-chernichnyy-v-belom-shokolade-107111.html,196.25,False,False,False,False,False,True,True,False,False,"['Эскимо', 'Пломбир']",1.0098794669706093,1.1034431725512701,0.9165605201530264,Эскимо,Пломбир
63,"Мороженое сливочное ""Джелато базилик-вишня""",150.0,80.0,4.7,2131.0,https://vkusvill.ru/goods/morozhenoe-slivochnoe-dzhelato-bazilik-vishnya-109391.html,187.5,True,False,False,False,False,False,False,False,True,"['Необычный вкус', 'Стаканчик (не вафельный)']",1.0042102325078766,1.0592751655326031,0.9481341952047113,Необычный вкус,Стаканчик (не вафельный)
64,"Мороженое ""Бельгийский шоколад""",160.0,80.0,4.9,1254.0,https://vkusvill.ru/goods/morozhenoe-belgiyskiy-shokolad-76171.html,200.0,True,False,False,False,False,False,False,False,True,"['Необычный вкус', 'Стаканчик (не вафельный)']",0.9971006012136895,1.1298935099014433,0.8825827240896557,Необычный вкус,Стаканчик (не вафельный)
65,"Эскимо на растительной основе ""Кокос""",90.0,50.0,4.8,3642.0,https://vkusvill.ru/goods/eskimo-na-rastitelnoy-osnove-kokos-31934.html,180.0,False,False,False,False,False,True,False,False,False,['Эскимо'],0.9947093408647633,0.9829351535836177,1.0119786002547766,Эскимо,
66,"Мороженое сливочное ""Имбирное печенье"", 75&nbsp;г",135.0,75.0,4.8,2368.0,https://vkusvill.ru/goods/morozhenoe-slivochnoe-imbirnoe-pechene-75-g-106689.html,180.0,False,False,False,False,False,False,False,False,True,['Стаканчик (не вафельный)'],0.9893608262181016,0.989010989010989,1.0003537242871916,Стаканчик (не вафельный),
67,Пломбир ванил. с черносмород. джемом в ваф. рожке,169.0,130.0,4.9,11349.0,https://vkusvill.ru/goods/plombir-vanil-s-chernosmorod-dzhemom-v-vaf-rozhke-63032.html,130.0,False,False,False,True,False,False,True,False,False,"['Рожок', 'Пломбир']",0.9891248546681579,0.9460499967702345,1.0456558908446723,Рожок,Пломбир
68,"Пломбир ""Брикет шоколадный""",107.0,80.0,4.9,7008.0,https://vkusvill.ru/goods/plombir-briket-shokoladnyy-76530.html,133.75,False,False,False,False,False,False,True,False,False,['Пломбир'],0.9761007966735716,0.9469026548672567,1.0308354207861083,Пломбир,
69,"Пломбир двухслойный ""Ванильно-шок."" в ваф. рожке",144.0,110.0,4.9,9056.0,https://vkusvill.ru/goods/plombir-dvukhsloynyy-vanilno-shok-v-vaf-rozhke-74818.html,130.91,False,False,False,True,False,False,True,False,False,"['Рожок', 'Пломбир']",0.971973679720383,0.9526723467476261,1.0203818093541013,Рожок,Пломбир
70,"Лед ""Клубника""",74.0,50.0,4.8,5067.0,https://vkusvill.ru/goods/led-klubnika-106471.html,148.0,False,False,False,False,True,False,False,False,True,"['Сорбет/лёд', 'Стаканчик (не вафельный)']",0.9638609012160175,0.8617721880861274,1.118337911206828,Сорбет/лёд,Стаканчик (не вафельный)
71,Пломбир Крем-брюле в ваф.стаканчике,129.0,105.0,5.0,15992.0,https://vkusvill.ru/goods/plombir-krem-bryule-v-vaf-stakanchike-89771.html,122.86,False,False,True,False,False,False,True,False,False,"['Вафельный стаканчик', 'Пломбир']",0.9607055084522682,0.8767948166877371,1.0957292123216187,Вафельный стаканчик,Пломбир
72,Мороженое пломбир с клубничным джемом в шоколаде с миндалем в вафельном стаканчике,142.0,90.0,4.7,1848.0,https://vkusvill.ru/goods/morozhenoe-plombir-s-klubnichnym-dzhemom-v-shokolade-s-mindalem-v-vafelnom-stakanchike-118437.html,157.78,False,False,True,False,False,False,True,False,False,"['Вафельный стаканчик', 'Пломбир']",0.9587756591703365,1.1260026548672566,0.8515075802417116,Вафельный стаканчик,Пломбир
73,Мороженое с сыром Горгонзола,457.0,250.0,4.9,1302.0,https://vkusvill.ru/goods/morozhenoe-s-syrom-gorgonzola-90033.html,182.8,True,False,False,False,False,False,False,True,False,"['Необычный вкус', 'Большая порция']",0.9585369290042666,1.0709570569351956,0.8923364768992922,Необычный вкус,Большая порция
74,"Мороженое ""Мятное с Шоколадом""",128.0,85.0,4.9,8500.0,https://vkusvill.ru/goods/morozhenoe-myatnoe-s-shokoladom-15774.html,150.59,True,False,False,False,False,False,False,False,True,"['Необычный вкус', 'Стаканчик (не вафельный)']",0.9520668636435056,0.8507533182802917,1.1192259123601183,Необычный вкус,Стаканчик (не вафельный)
75,"Мороженое ""Молочный шоколад"" без лактозы",148.0,70.0,4.9,1610.0,https://vkusvill.ru/goods/morozhenoe-molochnyy-shokolad-bez-laktozy-74559.html,211.43,False,True,False,False,False,False,False,False,True,"['ПП', 'Стаканчик (не вафельный)']",0.9493192018993916,1.055071005646054,0.8991895240422864,ПП,Стаканчик (не вафельный)
76,"Сорбет ""Черная смородина и мята""",162.0,80.0,5.0,454.0,https://vkusvill.ru/goods/sorbet-chernaya-smorodina-i-myata-91577.html,202.5,False,False,False,False,True,False,False,False,True,"['Сорбет/лёд', 'Стаканчик (не вафельный)']",0.9461618987271934,1.1791139735637892,0.8023444025352625,Сорбет/лёд,Стаканчик (не вафельный)
