Ниша,Название,"Цена, ₽","Вес, г",Рейтинг,Кол-во отзывов,Ссылка,"Цена за 100 г, ₽"
Для большой компании,"Мороженое сливочное 48 копеек Шоколадная Прага с кусочками шоколада и бисквита 8%, 432г","Цена503,99 ₽",432 гр,4.89,2680 оценок,https://www.perekrestok.ru/cat/1601/p/morozenoe-slivocnoe-48-kopeek-sokoladnaa-praga-s-kusockami-sokolada-i-biskvita-8-432g-4051008,
Для большой компании,"Мороженое молочное Эkzo ванильное с добавлением сока арбуза и дыни 2%, 520г","Цена478,99 ₽",520 гр,4.88,2364 оценки,https://www.perekrestok.ru/cat/1601/p/morozenoe-molocnoe-ekzo-vanilnoe-s-dobavleniem-soka-arbuza-i-dyni-2-520g-3940513,
Для большой компании,"Мороженое Соленая карамель с шоколадным трюфелем пломбир 15% Зелёная Линия, 300г","Цена399,99 ₽",300 гр,4.88,1720 оценок,https://www.perekrestok.ru/cat/1601/p/morozenoe-solenaa-karamel-s-sokoladnym-trufelem-plombir-15-zelenaa-linia-300g-4210650,
Для большой компании,"Мороженое сливочное Monterra Belgium Chocolate с бельгийским шоколадом и шоколадным соусом 10.5%, 276г","Цена589,99 ₽",480 мл,4.9,1375 оценок,https://www.perekrestok.ru/cat/1601/p/morozenoe-slivocnoe-monterra-belgium-chocolate-s-belgijskim-sokoladom-i-sokoladnym-sousom-10-5-276g-4252323,
Для большой компании,"Пломбир Чистая Линия Семейное ванильный 12%, 450г","Цена569,99 ₽",440 мл,4.9,2128 оценок,https://www.perekrestok.ru/cat/321/p/plombir-cistaa-linia-semejnoe-vanilnyj-12-450g-3334702,
Для большой компании,"Мороженое сливочное Monterra Black Forest Cake двухслойное шоколадное с вишней и кусочками печенья 9%, 300г","Цена589,99 ₽",480 мл,4.86,797 оценок,https://www.perekrestok.ru/cat/321/p/morozenoe-slivocnoe-monterra-black-forest-cake-dvuhslojnoe-sokoladnoe-s-visnej-i-kusockami-pecena-9-300g-4252342,
Для большой компании,"Пломбир 48 копеек 12%, 419г","Цена503,99 ₽",419 гр,4.87,1914 оценок,https://www.perekrestok.ru/cat/321/p/plombir-48-kopeek-12-419g-4048083,
Для большой компании,"Мороженое Чистая линия Пломбироешка ванильный пломбир 12%, 450г","Цена679,99 ₽",450 гр,4.9,1017 оценок,https://www.perekrestok.ru/cat/1601/p/morozenoe-cistaa-linia-plombiroeska-vanilnyj-plombir-12-450g-3454242,
Для большой компании,"Мороженое пломбир Monterra Mango&Cream с манговым наполнителем и кусочками манго 12.5%, 281г","Цена589,99 ₽",480 мл,4.87,968 оценок,https://www.perekrestok.ru/cat/321/p/morozenoe-plombir-monterra-mango-cream-s-mangovym-napolnitelem-i-kusockami-mango-12-5-281g-4252344,
Для большой компании,"Мороженое Малиновый пирог с белым шоколадом пломбир 15% Зелёная Линия, 300г","Цена499,99 ₽",300 гр,4.78,841 оценка,https://www.perekrestok.ru/cat/1601/p/morozenoe-malinovyj-pirog-s-belym-sokoladom-plombir-15-zelenaa-linia-300g-4210655,
Для большой компании,"Мороженое Шоколадное Джелато с Брауни молочное 4.5% Зелёная Линия, 600г","Цена1 055,99 ₽",600 гр,4.9,422 оценки,https://www.perekrestok.ru/cat/1601/p/morozenoe-sokoladnoe-dzelato-s-brauni-molocnoe-4-5-zelenaa-linia-600g-4347032,
Для большой компании,"Сорбет Малина-Личи Зелёная Линия, 300г","Цена791,99 ₽",300 гр,4.76,471 оценка,https://www.perekrestok.ru/cat/1601/p/sorbet-malina-lici-zelenaa-linia-300g-4210653,
