,Название,"Цена, ₽","Вес, г","Цена за 100 г, ₽",Рейтинг,Кол-во отзывов,Ссылка,Большие порции,Стаканчики и рожки,Сэндвичи и брикет,Фруктовое,Шоколадное,Эскимо и батончики,ПП,Ценовая премия,Относительная популярность,Score
41,"Мороженое Seoju Сэндвич Сладкая Кукуруза, 80г",209.99,80.0,262.49,4.64,219,https://www.perekrestok.ru/cat/321/p/morozenoe-seoju-sendvic-sladkaa-kukuruza-80g-4360086,False,False,True,False,False,False,False,1.775,0.693,1.142
42,"Мороженое пломбир Чистая Линия ванильный апельсин-шоколадная глазурь 12%, 450г",1213.99,450.0,269.78,4.92,66,https://www.perekrestok.ru/cat/321/p/morozenoe-plombir-cistaa-linia-vanilnyj-apelsin-sokoladnaa-glazur-12-450g-3693491,True,False,False,False,False,False,False,1.686,0.683,1.133
43,"Эскимо Lotte Zero шоколадное 2%, 67г",289.99,67.0,432.82,4.55,78,https://www.perekrestok.ru/cat/321/p/eskimo-lotte-zero-sokoladnoe-2-67g-4372282,False,False,False,False,False,True,False,1.945,0.636,1.126
44,"Эскимо Lotte Мелония двойная дыня 6%, 80г",149.99,72.0,208.32,4.93,3893,https://www.perekrestok.ru/cat/1601/p/eskimo-lotte-melonia-dvojnaa-dyna-6-80g-4151679,False,False,False,False,False,True,False,0.936,1.203,1.11
45,"Мороженое Ferrero Rocher Ice Cream со вкусом лесного ореха, 50г",349.99,70.0,499.99,4.87,31,https://www.perekrestok.ru/cat/421/p/morozenoe-ferrero-rocher-ice-cream-so-vkusom-lesnogo-oreha-50g-4426072,False,False,False,False,False,True,False,2.247,0.504,1.103
46,"Мороженое Малиновый пирог с белым шоколадом пломбир 15% Зелёная Линия, 300г",499.99,300.0,166.66,4.78,841,https://www.perekrestok.ru/cat/1601/p/morozenoe-malinovyj-pirog-s-belym-sokoladom-plombir-15-zelenaa-linia-300g-4210655,True,False,False,False,False,False,False,1.042,1.094,1.09
47,"Мороженое Чистая Линия Пломбир без сахарозы с ароматом ванили 12%, 200г",349.99,200.0,175.0,4.91,326,https://www.perekrestok.ru/cat/321/p/morozenoe-cistaa-linia-plombir-bez-saharozy-s-aromatom-vanili-12-200g-4370491,True,False,False,False,False,False,True,0.994,1.105,1.079
48,"Пломбир Чистая Линия Московская лакомка шоколадный, 80г",179.99,80.0,224.99,4.89,1711,https://www.perekrestok.ru/cat/1601/p/plombir-cistaa-linia-moskovskaa-lakomka-sokoladnyj-80g-2186404,False,False,False,False,False,True,False,1.011,1.084,1.072
49,"Пломбир Коровка из Кореновки фисташковый в вафельном стаканчике 15%, 80г",109.99,80.0,137.49,4.88,6653,https://www.perekrestok.ru/cat/1601/p/plombir-korovka-iz-korenovki-fistaskovyj-v-vafelnom-stakancike-15-80g-4066639,False,True,False,False,False,False,False,0.981,1.11,1.063
50,Мороженое Чистая линия пломбир с фисташковой пастой в вафельном рожке 12% 110г,179.99,110.0,163.63,4.87,1634,https://www.perekrestok.ru/cat/1601/p/morozenoe-cistaa-linia-plombir-s-fistaskovoj-pastoj-v-vafelnom-rozke-12-110g-4315657,False,True,False,False,False,False,False,1.167,0.933,1.061
